법규명,원문링크
민간임대주택에 관한 특별법,https://www.law.go.kr/법령/민간임대주택에관한특별법
민법,https://www.law.go.kr/법령/민법
민원 처리에 관한 법률 시행령,https://www.law.go.kr/법령/민원처리에관한법률시행령
빈집 및 소규모주택 정비에 관한 특례법,https://www.law.go.kr/법령/빈집및소규모주택정비에관한특례법
사도법,https://www.law.go.kr/법령/사도법
산림자원의 조성 및 관리에 관한 법률,https://www.law.go.kr/법령/산림자원의조성및관리에관한법률
산업입지 및 개발에 관한 법률,https://www.law.go.kr/법령/산업입지및개발에관한법률
산업입지 및 개발에 관한 법률,https://www.law.go.kr/법령/산업입지및개발에관한법률
산업집적활성화 및 공장설립에 관한 법률,https://www.law.go.kr/법령/산업집적활성화및공장설립에관한법률
산업집적활성화 및 공장설립에 관한 법률,https://www.law.go.kr/법령/산업집적활성화및공장설립에관한법률
산지관리법,https://www.law.go.kr/법령/산지관리법
산지관리법,https://www.law.go.kr/법령/산지관리법
소방시설 설치 및 관리에 관한 법률,https://www.law.go.kr/법령/소방시설설치및관리에관한법률
수도권정비계획법,https://www.law.go.kr/법령/수도권정비계획법
수도법,https://www.law.go.kr/법령/수도법
수산자원관리법 시행령,https://www.law.go.kr/법령/수산자원관리법시행령
시설물의 안전 및 유지관리에 관한 특별법,https://www.law.go.kr/법령/시설물의안전및유지관리에관한특별법
실내공기질 관리법,https://www.law.go.kr/법령/실내공기질관리법
영유아보육법,https://www.law.go.kr/법령/영유아보육법
용인시 각종 위원회 설치 및 운영 조례,"https://www.law.go.kr/자치법규/용인시각종위원회설치및운영조례/(2571,20241206)"
용인시 건축 조례,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=41490130226020&histNo=040&menuNm=main
용인시 건축 조례,"https://www.law.go.kr/자치법규/용인시건축조례/(2638,20250630)"
용인시 건축물관리 조례,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=41490130226014&histNo=003&menuNm=main
용인시 도시계획 조례,www.elis.go.kr/allalr/selectAlrBdtOne?alrNo=41490109224034&histNo=053&menuNm=main
용인시 도시계획 조례,"https://www.law.go.kr/자치법규/용인시도시계획조례/(2714,20251231)"
자연공원법,https://www.law.go.kr/법령/자연공원법
자연공원법,https://www.law.go.kr/법령/자연공원법
자연유산의 보존 및 활용에 관한 법률,https://www.law.go.kr/법령/자연유산의보존및활용에관한법률
자연재해대책법,https://www.law.go.kr/법령/자연재해대책법
전자정부법,https://www.law.go.kr/법령/전자정부법
전통사찰의 보존 및 지원에 관한 법률,https://www.law.go.kr/법령/전통사찰의보존및지원에관한법률
주차장법,https://www.law.go.kr/법령/주차장법
주택법,https://www.law.go.kr/법령/주택법
주택법,https://www.law.go.kr/법령/주택법
지방공기업법,https://www.law.go.kr/법령/지방공기업법
집합건물의 소유 및 관리에 관한 법률,https://www.law.go.kr/법령/집합건물의소유및관리에관한법률
택지개발촉진법,https://www.law.go.kr/법령/택지개발촉진법
토지이용규제 기본법,https://www.law.go.kr/법령/토지이용규제기본법
하수도법,https://www.law.go.kr/법령/하수도법
하천법,https://www.law.go.kr/법령/하천법
한국토지주택공사법,https://www.law.go.kr/법령/한국토지주택공사법
한옥 등 건축자산의 진흥에 관한 법률,https://www.law.go.kr/법령/한옥등건축자산의진흥에관한법률
행정대집행법,https://www.law.go.kr/법령/행정대집행법
